nome_mun,ibge,faixa_de_porte_populacional_segundo_o_ibge_2022,indice_de_vulnerabilidade_social,ano,desp_final,estimado,tx_mort,tx_inter,inv_tx_mort,inv_tx_inter,tx_sobrev_mort,tx_sobrev_inter,ef_bcc,ef_ccr,ef_scale,v_desp_por_hab,v_tx_mort,v_tx_inter,uf,peer1,mun_ref,peer2,peer3,categorizacao_mort,categorizacao_inter,categorizacao_desp,ef_bcc_corrigido
Passa Sete,431406,1-Até 20mil hab.,4,2022,97059.74066666666,não,445.6911957829873,1717.1770899946812,0.00224370597728143,5.823511190701347e-4,223.37059772814376,57.23511190701347,0.581,0.261,0.449,53395.60488611139,186.5,1485.4,RS,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6152819333333334
Passa Tempo,314770,1-Até 20mil hab.,4,2022,66067.12583333334,não,362.9598892733216,997.0945416070869,0.00275512537212332,0.00100291392467983,274.51253721233223,99.29139246798304,0.713,0.472,0.662,22402.990052778063,103.7,765.3,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7031403666666676
Passa e Fica,240910,1-Até 20mil hab.,2,2022,62967.453362207634,não,399.6812059198997,505.0824790047458,0.00250199405223074,0.00197987465724504,249.1994052230743,196.98746572450472,0.648,0.449,0.693,19303.31758165236,140.5,273.3,RN,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6198572666666674
Passa-Vinte,314780,1-Até 20mil hab.,4,2022,130036.437245828,sim,562.059832913168,832.9204022538622,0.00177917001258919,0.00120059491554538,176.9170012589192,119.05949155453804,0.46,0.154,0.335,86372.30146527273,302.8,601.2,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5466986666666673
Passabém,314750,1-Até 20mil hab.,3,2022,66071.65439613287,sim,490.52342481374114,403.8199677646583,0.00203863862440354,0.00247635104706557,202.8638624403543,246.63510470655788,0.573,0.379,0.661,22407.518616152436,231.3,172.1,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6232122999999996
Passagem,251070,1-Até 20mil hab.,2,2022,50717.383876208325,sim,346.7032881029392,259.4785149876318,0.00288431068961506,0.00385388362519211,287.43106896150675,384.3883625192112,0.893,0.769,0.861,7053.248096618699,87.5,27.7,PB,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.8797161666666644
Passagem,240920,1-Até 20mil hab.,2,2022,73818.71007385304,sim,323.2784980598225,679.1267907453057,0.00309330811050399,0.00147247909172093,308.33081105039986,146.24790917209333,0.801,0.474,0.592,30154.574293297766,64.1,447.4,RN,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.8190083999999991
Passagem Franca,210790,1-Até 20mil hab.,1,2022,67387.19171568628,não,518.7027097933625,1929.06486999818,0.00192788659307057,5.183858850744316e-4,191.78865930705737,50.83858850744316,0.498,0.323,0.649,23723.0559351578,259.5,1697.3,MA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,5% maiores,Entre 5% menores e 5% maiores,0.5354804333333335
Passagem Franca do Piauí,220775,1-Até 20mil hab.,2,2022,88387.06483333332,não,549.7720470224154,231.75208618438188,0.0018189356941955,0.0043149557635671,180.89356941955032,430.4955763567109,1,0.494,0.494,44722.92905276405,290.5,0,PI,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,5% menores,Entre 5% menores e 5% maiores,0.8918763000000003
Passira,261050,2-Acima de 20mil até 50mil hab.,2,2022,49239.894139743235,sim,444.7033041600224,420.7976115801094,0.0022486902855126,0.00237643934395199,223.86902855126056,236.64393439519912,0.582,0.516,0.887,5575.7583592079445,185.5,189,PE,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5848675666666658
